"","Announcement","Death","Burial","Burial_Day","Burial_Week","Gender","Color","Size","Word_Count","No_of_Children","Significant_Children","Significant_Relatives","Fundraising","Death_to_Burial","Announce_to_Burial","No_of_Relatives","County_Burial","County_Morgue","Distance_Morgue","Cause_of_Death","Married","Spouse_Alive","Spouse_gender","Death_to_Announce"
"1",2017-11-08,2017-11-02,2017-11-17,"5",0,1,1,55.18,179,7,0,0,1,15,9,35,"33","33",1,"2",1,1,0,6
"2",2017-11-08,2017-10-27,2017-11-11,"6",1,0,1,83.6,293,4,0,7,1,15,3,8,"31","31",1,"2",1,1,1,12
"3",2017-11-08,2017-11-01,2017-11-08,"3",0,1,1,109.12,206,4,0,2,0,7,0,7,"28","24",160,"2",1,1,0,7
"4",2017-11-08,2017-10-24,2017-11-09,"4",0,1,1,83.6,171,4,0,0,0,16,1,33,"32","32",20,"2",1,0,0,15
"5",2017-11-08,2017-11-02,2017-11-11,"6",1,0,0,55.18,150,1,0,4,1,9,3,17,"17","22",20,"1",1,0,1,6
"6",2017-11-08,2017-11-02,2017-11-09,"4",0,0,1,55.18,174,4,1,7,0,7,1,19,"6","10",1,"2",1,0,1,6
"7",2017-11-07,2017-10-18,2017-11-10,"5",0,0,1,145.96,450,11,1,0,0,23,3,115,"27","23",67,"2",1,1,1,20
"8",2017-11-07,2017-11-02,2017-11-09,"4",0,1,1,55.18,154,7,0,0,0,7,2,2,"23","23",1,"2",1,0,0,5
"9",2017-11-07,2017-11-03,2017-11-11,"6",1,1,1,55.18,2014,3,0,0,0,8,4,24,"29","23",58,"2",1,1,0,4
"10",2017-11-07,2017-11-02,2017-11-11,"6",1,0,1,84.55,236,19,3,7,1,9,4,26,"3","23",113,"2",1,0,1,5
"11",2017-11-07,2017-10-30,2017-11-08,"3",1,1,1,159.6,172,11,0,0,0,9,1,0,"2","23",1,"2",1,0,0,8
"13",2017-11-08,2017-10-18,2017-11-11,"6",1,1,1,68.53,240,9,0,0,0,24,3,27,"14","23",84,"2",1,1,0,21
"14",2017-11-08,2017-10-29,2017-11-10,"5",0,1,1,66.88,200,4,0,1,0,12,2,18,"22","23",155,"2",1,1,0,10
"15",2017-11-07,2017-11-01,2017-11-08,"3",0,1,1,53.68,172,8,0,0,0,7,1,11,"22","23",155,"2",1,0,0,6
"16",2017-11-07,2017-10-31,2017-11-10,"5",0,0,1,54.56,138,7,0,0,0,10,3,4,"6","6",1,"2",1,0,1,7
"17",2017-11-07,2017-10-24,2017-11-10,"5",0,1,1,81.7,184,4,3,0,0,17,3,13,"23","23",1,"2",1,0,0,14
"18",2017-11-07,2017-11-01,2017-11-08,"3",0,0,1,83.52,171,3,1,1,0,7,1,27,"8","15",153,"2",1,1,1,6
